close,contract,date,open,rolled
3959.4,IF1911.CCFX,2019-11-01,3875.0,0
3974.2,IF1911.CCFX,2019-11-04,3969.8,0
3996.4,IF1911.CCFX,2019-11-05,3978.6,0
3983.0,IF1911.CCFX,2019-11-06,3999.0,0
3990.2,IF1911.CCFX,2019-11-07,3979.6,0
3968.8,IF1911.CCFX,2019-11-08,4015.4,0
3906.6,IF1911.CCFX,2019-11-11,3940.0,0
3897.6,IF1911.CCFX,2019-11-12,3913.0,0
3900.0,IF1911.CCFX,2019-11-13,3891.0,0
3900.0,IF1911.CCFX,2019-11-14,3906.4,0
3879.0,IF1912.CCFX,2019-11-15,3902.8,1
3908.8,IF1912.CCFX,2019-11-18,3877.6,0
3953.6,IF1912.CCFX,2019-11-19,3904.6,0
3907.8,IF1912.CCFX,2019-11-20,3941.8,0
3888.4,IF1912.CCFX,2019-11-21,3890.2,0
3839.6,IF1912.CCFX,2019-11-22,3901.0,0
3873.4,IF1912.CCFX,2019-11-25,3853.6,0
3875.8,IF1912.CCFX,2019-11-26,3890.0,0
3878.8,IF1912.CCFX,2019-11-27,3873.0,0
3868.6,IF1912.CCFX,2019-11-28,3874.8,0
3827.4,IF1912.CCFX,2019-11-29,3861.0,0
3838.0,IF1912.CCFX,2019-12-02,3842.4,0
3856.6,IF1912.CCFX,2019-12-03,3828.6,0
3852.4,IF1912.CCFX,2019-12-04,3842.2,0
3880.0,IF1912.CCFX,2019-12-05,3864.0,0
3909.6,IF1912.CCFX,2019-12-06,3884.0,0
3900.4,IF1912.CCFX,2019-12-09,3915.8,0
3903.0,IF1912.CCFX,2019-12-10,3889.4,0
3909.2,IF1912.CCFX,2019-12-11,3910.0,0
3895.4,IF1912.CCFX,2019-12-12,3915.0,0
3979.6,IF1912.CCFX,2019-12-13,3930.0,0
3988.0,IF1912.CCFX,2019-12-16,3969.0,0
4048.2,IF1912.CCFX,2019-12-17,3991.6,0
4038.4,IF1912.CCFX,2019-12-18,4049.6,0
4028.8,IF1912.CCFX,2019-12-19,4038.0,0
4035.0,IF2001.CCFX,2019-12-20,4054.0,1
3979.4,IF2001.CCFX,2019-12-23,4031.0,0
3998.4,IF2001.CCFX,2019-12-24,3990.0,0
4002.8,IF2001.CCFX,2019-12-25,3996.0,0
4034.6,IF2001.CCFX,2019-12-26,4005.0,0
4028.0,IF2001.CCFX,2019-12-27,4038.8,0
4090.8,IF2001.CCFX,2019-12-30,4027.6,0
4109.4,IF2001.CCFX,2019-12-31,4090.0,0
4160.4,IF2001.CCFX,2020-01-02,4131.2,0
4151.8,IF2001.CCFX,2020-01-03,4171.2,0
